"Plot Title: Rollinson_C6"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
211,01/20/19 05:33:43 AM,34.858,0.3380,1.2,6.305,76.700
212,01/20/19 06:33:43 AM,34.810,0.3380,1.2,5.243,78.400
213,01/20/19 07:33:43 AM,34.810,0.3380,1.2,4.525,78.300
214,01/20/19 08:33:43 AM,34.810,0.3380,23.7,5.740,77.400
215,01/20/19 09:33:43 AM,34.761,0.3380,143.7,9.048,72.900
216,01/20/19 10:33:43 AM,34.761,0.3380,231.2,12.063,68.900
217,01/20/19 11:33:43 AM,34.713,0.3380,368.7,13.896,63.900
218,01/20/19 12:33:43 PM,34.713,0.3373,263.7,14.763,60.800
219,01/20/19 01:33:43 PM,34.713,0.3380,221.2,14.392,57.700
220,01/20/19 02:33:43 PM,34.713,0.3380,163.7,13.896,57.600
221,01/20/19 03:33:43 PM,34.664,0.3380,148.7,13.395,57.400
222,01/20/19 04:33:43 PM,34.664,0.3380,46.2,11.485,57.000
223,01/20/19 05:33:43 PM,34.664,0.3380,6.2,9.383,60.000
224,01/20/19 06:33:43 PM,34.664,0.3373,1.2,7.966,63.400
225,01/20/19 07:33:43 PM,34.615,0.3366,1.2,7.072,63.600
226,01/20/19 08:33:43 PM,34.615,0.3358,1.2,5.882,64.500
227,01/20/19 09:33:43 PM,34.615,0.3358,1.2,4.957,67.400
228,01/20/19 10:33:43 PM,34.565,0.3351,1.2,3.502,70.100
229,01/20/19 11:33:43 PM,34.565,0.3344,1.2,2.912,72.900
230,01/21/19 12:33:43 AM,34.516,0.3344,1.2,3.133,73.900
231,01/21/19 01:33:43 AM,34.468,0.3337,1.2,2.986,74.700
232,01/21/19 02:33:43 AM,34.468,0.3337,1.2,3.502,77.000
233,01/21/19 03:33:43 AM,34.419,0.3329,1.2,4.813,78.900
234,01/21/19 04:33:43 AM,34.419,0.3329,1.2,5.527,80.700
235,01/21/19 05:33:43 AM,34.371,0.3329,1.2,6.165,82.100
236,01/21/19 06:33:43 AM,34.371,0.3322,1.2,6.654,83.100
237,01/21/19 07:33:43 AM,34.320,0.3322,1.2,3.943,84.500
238,01/21/19 08:33:43 AM,34.320,0.3322,26.2,5.740,86.200
239,01/21/19 09:33:43 AM,34.320,0.3315,143.7,11.678,85.200
240,01/21/19 10:33:43 AM,34.272,0.3315,213.7,13.834,75.600
241,01/21/19 11:33:43 AM,34.272,0.3315,318.7,15.681,70.000
242,01/21/19 12:33:43 PM,34.272,0.3315,261.2,16.767,68.500
243,01/21/19 01:33:43 PM,34.272,0.3315,223.7,16.646,66.400
244,01/21/19 02:33:43 PM,34.223,0.3322,188.7,16.045,63.800
245,01/21/19 03:33:43 PM,34.223,0.3322,158.7,15.620,60.100
246,01/21/19 04:33:43 PM,34.272,0.3322,41.2,14.392,52.100
247,01/21/19 05:33:43 PM,34.223,0.3322,6.2,12.447,49.500
248,01/21/19 06:33:43 PM,34.223,0.3329,1.2,11.161,47.600
249,01/21/19 07:33:43 PM,34.223,0.3329,1.2,10.639,48.400
250,01/21/19 08:33:43 PM,34.223,0.3337,1.2,10.836,51.600
251,01/21/19 09:33:43 PM,34.223,0.3322,1.2,11.161,55.100
252,01/21/19 10:33:43 PM,34.223,0.3315,1.2,11.613,57.100
253,01/21/19 11:33:43 PM,34.223,0.3315,1.2,11.678,59.300
254,01/22/19 12:33:43 AM,34.174,0.3315,1.2,12.954,63.100
255,01/22/19 01:33:43 AM,34.174,0.3315,1.2,14.517,63.100
256,01/22/19 02:33:43 AM,34.174,0.3315,1.2,15.132,61.600
257,01/22/19 03:33:43 AM,34.174,0.3308,1.2,15.436,64.600
258,01/22/19 04:33:43 AM,34.174,0.3308,1.2,15.559,67.900
259,01/22/19 05:33:43 AM,34.174,0.3308,1.2,16.165,69.800
260,01/22/19 06:33:43 AM,34.124,0.3308,1.2,17.776,68.900
261,01/22/19 07:33:43 AM,34.124,0.3300,1.2,19.238,67.900
262,01/22/19 08:33:43 AM,34.124,0.3300,13.7,20.615,67.500
263,01/22/19 09:33:43 AM,34.124,0.3300,16.2,20.842,68.800
264,01/22/19 10:33:43 AM,34.124,0.3300,41.2,21.463,83.200
265,01/22/19 11:33:43 AM,34.124,0.3300,51.2,24.066,90.300
266,01/22/19 12:33:43 PM,34.124,0.3322,56.2,26.218,91.800
267,01/22/19 01:33:43 PM,34.124,0.3329,48.7,28.528,91.200
268,01/22/19 02:33:43 PM,34.124,0.3315,46.2,28.994,93.000
269,01/22/19 03:33:43 PM,34.124,0.3308,26.2,30.072,94.400
270,01/22/19 04:33:43 PM,34.124,0.3308,21.2,30.783,95.500
271,01/22/19 05:33:43 PM,34.124,0.3300,1.2,31.440,96.200
272,01/22/19 06:33:43 PM,34.174,0.3300,1.2,32.243,96.700
273,01/22/19 07:33:43 PM,34.174,0.3300,1.2,32.443,97.100
274,01/22/19 08:33:43 PM,34.174,0.3279,1.2,32.691,97.500
275,01/22/19 09:33:43 PM,34.223,0.3264,1.2,32.841,97.900
276,01/22/19 10:33:43 PM,34.223,0.3242,1.2,33.584,98.200
277,01/22/19 11:33:43 PM,34.223,0.3250,1.2,33.681,98.400
278,01/23/19 12:33:43 AM,34.223,0.3271,1.2,33.978,98.500
279,01/23/19 01:33:43 AM,34.272,0.3286,1.2,33.386,98.600
280,01/23/19 02:33:43 AM,34.272,0.3300,1.2,32.891,98.700
281,01/23/19 03:33:43 AM,34.272,0.3308,1.2,33.584,98.900
282,01/23/19 04:33:43 AM,34.272,0.3344,1.2,33.386,99.100
283,01/23/19 05:33:43 AM,34.320,0.3605,1.2,32.243,99.200
284,01/23/19 06:33:43 AM,34.320,0.3620,1.2,31.892,99.400
285,01/23/19 07:33:43 AM,34.320,0.3605,1.2,31.541,99.500
286,01/23/19 08:33:43 AM,34.320,0.3569,3.7,30.783,99.600
287,01/23/19 09:33:43 AM,34.320,0.3518,18.7,28.580,99.600
288,01/23/19 10:33:43 AM,34.320,0.3496,51.2,26.906,99.600
289,01/23/19 11:33:43 AM,34.320,0.3496,78.7,26.643,99.400
290,01/23/19 12:33:43 PM,34.320,0.3475,73.7,26.483,99.200
291,01/23/19 01:33:43 PM,34.320,0.3467,53.7,24.553,97.700
292,01/23/19 02:33:43 PM,34.320,0.3460,48.7,23.243,93.700
293,01/23/19 03:33:43 PM,34.320,0.3453,43.7,23.243,91.600
294,01/23/19 04:33:43 PM,34.320,0.3446,28.7,22.525,90.400
295,01/23/19 05:33:43 PM,34.320,0.3438,3.7,21.294,90.100
296,01/23/19 06:33:43 PM,34.371,0.3431,1.2,20.728,89.200
297,01/23/19 07:33:43 PM,34.371,0.3431,1.2,19.238,89.600
298,01/23/19 08:33:43 PM,34.371,0.3424,1.2,19.468,91.200
299,01/23/19 09:33:43 PM,34.371,0.3417,1.2,19.987,90.600
300,01/23/19 10:33:43 PM,34.371,0.3417,1.2,20.102,88.500
301,01/23/19 11:33:43 PM,34.371,0.3417,1.2,19.411,87.700
302,01/24/19 12:33:43 AM,34.371,0.3409,1.2,18.889,87.100
303,01/24/19 01:33:43 AM,34.371,0.3409,1.2,14.020,88.300
304,01/24/19 02:33:43 AM,34.371,0.3409,1.2,11.935,90.300
305,01/24/19 03:33:43 AM,34.371,0.3402,1.2,10.047,91.600
306,01/24/19 04:33:43 AM,34.371,0.3402,1.2,9.716,92.500
307,01/24/19 05:33:43 AM,34.371,0.3402,1.2,8.982,92.700
308,01/24/19 06:33:43 AM,34.320,0.3402,1.2,8.442,92.900
309,01/24/19 07:33:43 AM,34.320,0.3395,1.2,7.486,92.800
310,01/24/19 08:33:43 AM,34.272,0.3395,26.2,9.981,92.800
311,01/24/19 09:33:43 AM,34.272,0.3402,73.7,14.146,92.800
312,01/24/19 10:33:43 AM,34.223,0.3395,68.7,15.498,92.300
313,01/24/19 11:33:43 AM,34.223,0.3395,66.2,16.104,91.200
314,01/24/19 12:33:43 PM,34.174,0.3395,88.7,17.125,91.000
